Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1]
1,...,0,0,0,0,Recovas_Capacity_Check,3.30862,0,,,,,
5,PAU,0.008,0.07,0,0,Recovas_Capacity_Check,3.30862,0,,,,,
5,PAU,0.008,0.07,0,0,Recovas_Capacity_Check,3.30862,0,0,0,0,0,24.3
5,PAU,120.043,120.105,0,0,Recovas_Capacity_Check,3.30862,0,0,0,0,0,24.3
5,PAU,240.026,240.088,0,0,Recovas_Capacity_Check,3.30862,0,0,0,0,0,24.3
5,PAU,360.042,360.104,0,0,Recovas_Capacity_Check,3.30873,0,0,0,0,0,24.3
5,PAU,480.026,480.088,0,0,Recovas_Capacity_Check,3.30873,0,0,0,0,0,24.3
5,PAU,600.024,600.086,0,0,Recovas_Capacity_Check,3.30873,0,0,0,0,0,24.3
5,PAU,720.034,720.096,0,0,Recovas_Capacity_Check,3.30873,0,0,0,0,0,24.3
5,PAU,840.03,840.092,0,0,Recovas_Capacity_Check,3.30873,0,0,0,0,0,24.3
5,PAU,960.046,960.108,0,0,Recovas_Capacity_Check,3.30873,0,0,0,0,0,24.3
5,PAU,1080.033,1080.095,0,0,Recovas_Capacity_Check,3.30873,0,0,0,0,0,24.3
5,PAU,1200.018,1200.08,0,0,Recovas_Capacity_Check,3.30885,0,0,0,0,0,24.3
5,PAU,1320.036,1320.098,0,0,Recovas_Capacity_Check,3.30885,0,0,0,0,0,24.3
5,PAU,1440.042,1440.104,0,0,Recovas_Capacity_Check,3.30885,0,0,0,0,0,24.3
5,PAU,1560.048,1560.11,0,0,Recovas_Capacity_Check,3.30896,0,0,0,0,0,24.3
5,PAU,1680.037,1680.099,0,0,Recovas_Capacity_Check,3.30885,0,0,0,0,0,24.2
5,PAU,1800.028,1800.09,0,0,Recovas_Capacity_Check,3.30896,0,0,0,0,0,24.2
5,PAU,1800.028,1800.09,0,0,Recovas_Capacity_Check,3.30896,0,0,0,0,0,24.2
5,PAU,1800.028,1800.09,0,0,Recovas_Capacity_Check,3.30896,0,,,,,
6,CHA,0,1800.111,0,0,Recovas_Capacity_Check,3.35444,0,,,,,
6,CHA,0,1800.111,0,0,Recovas_Capacity_Check,3.35444,0,0,0,0,0,24.2
6,CHA,0.054,1800.165,0,0,Recovas_Capacity_Check,3.36845,1.66851,0.00004,0,0.00015,0,24.2
6,CHA,0.648,1800.759,0,0,Recovas_Capacity_Check,3.37846,1.66985,0.00032,0,0.00108,5.64134,24.2
6,CHA,1.002,1801.113,0,0,Recovas_Capacity_Check,3.37935,1.66994,0.00044,0,0.0015,5.64301,24.2
6,CHA,1.997,1802.108,0,0,Recovas_Capacity_Check,3.38269,1.67003,0.00093,0,0.00314,5.64919,24.2
