

Measurement ID,31696
Battery Name,LG M50
Battery Type,
Circuit,MCCD_0897
Program,1245 - Recovas_Capacity_Check
Start Time,1/19/2022 9:08:38 AM
End Time,1/19/2022 4:16:48 PM
Test section,TS030247
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],
1,...,0.000,0.000,0,0,Recovas_Capacity_Check,3.31369,0.00000,,,,,,
5,PAU,0.007,0.070,0,0,Recovas_Capacity_Check,3.31369,0.00000,,,,,,
5,PAU,0.007,0.070,0,0,Recovas_Capacity_Check,3.31369,0.00000,0.00000,0.00000,0.00000,0.00000,25.30000,
5,PAU,120.033,120.096,0,0,Recovas_Capacity_Check,3.31392,0.00000,0.00000,0.00000,0.00000,0.00000,25.30000,
5,PAU,240.038,240.101,0,0,Recovas_Capacity_Check,3.31414,0.00000,0.00000,0.00000,0.00000,0.00000,25.30000,
5,PAU,360.033,360.096,0,0,Recovas_Capacity_Check,3.31425,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,480.028,480.091,0,0,Recovas_Capacity_Check,3.31447,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,600.029,600.092,0,0,Recovas_Capacity_Check,3.31458,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,720.026,720.089,0,0,Recovas_Capacity_Check,3.31481,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,840.039,840.102,0,0,Recovas_Capacity_Check,3.31492,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,960.031,960.094,0,0,Recovas_Capacity_Check,3.31514,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1080.034,1080.097,0,0,Recovas_Capacity_Check,3.31525,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1200.016,1200.079,0,0,Recovas_Capacity_Check,3.31547,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1320.017,1320.080,0,0,Recovas_Capacity_Check,3.31558,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1440.034,1440.097,0,0,Recovas_Capacity_Check,3.31581,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1560.023,1560.086,0,0,Recovas_Capacity_Check,3.31592,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1680.022,1680.085,0,0,Recovas_Capacity_Check,3.31614,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1800.036,1800.099,0,0,Recovas_Capacity_Check,3.31625,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1800.036,1800.099,0,0,Recovas_Capacity_Check,3.31625,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
