

Measurement ID,27923
Battery Name,LG M50
Battery Type,
Circuit,MCCD_0890
Program,1245 - Recovas_Capacity_Check
Start Time,11/21/2021 2:47:10 AM
End Time,11/21/2021 10:38:54 AM
Test section,TS026501
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],
1,...,0.000,0.000,0,0,Recovas_Capacity_Check,3.12034,0.00000,,,,,,
5,PAU,0.008,0.074,0,0,Recovas_Capacity_Check,3.12057,0.00000,,,,,,
5,PAU,0.008,0.074,0,0,Recovas_Capacity_Check,3.12057,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,120.037,120.103,0,0,Recovas_Capacity_Check,3.12134,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,240.020,240.086,0,0,Recovas_Capacity_Check,3.12212,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,360.107,360.173,0,0,Recovas_Capacity_Check,3.12279,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,480.020,480.086,0,0,Recovas_Capacity_Check,3.12357,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,600.036,600.102,0,0,Recovas_Capacity_Check,3.12413,0.00000,0.00000,0.00000,0.00000,0.00000,24.30000,
5,PAU,720.019,720.085,0,0,Recovas_Capacity_Check,3.12479,0.00000,0.00000,0.00000,0.00000,0.00000,24.30000,
5,PAU,840.029,840.095,0,0,Recovas_Capacity_Check,3.12546,0.00000,0.00000,0.00000,0.00000,0.00000,24.30000,
5,PAU,960.033,960.099,0,0,Recovas_Capacity_Check,3.12602,0.00000,0.00000,0.00000,0.00000,0.00000,24.30000,
5,PAU,1080.031,1080.097,0,0,Recovas_Capacity_Check,3.12668,0.00000,0.00000,0.00000,0.00000,0.00000,24.30000,
5,PAU,1200.015,1200.081,0,0,Recovas_Capacity_Check,3.12724,0.00000,0.00000,0.00000,0.00000,0.00000,24.30000,
5,PAU,1320.025,1320.091,0,0,Recovas_Capacity_Check,3.12779,0.00000,0.00000,0.00000,0.00000,0.00000,24.20000,
5,PAU,1440.027,1440.093,0,0,Recovas_Capacity_Check,3.12835,0.00000,0.00000,0.00000,0.00000,0.00000,24.20000,
5,PAU,1560.045,1560.111,0,0,Recovas_Capacity_Check,3.12891,0.00000,0.00000,0.00000,0.00000,0.00000,24.20000,
