

Measurement ID,31885
Battery Name,LG M50
Battery Type,
Circuit,MCCD_0899
Program,1245 - Recovas_Capacity_Check
Start Time,1/24/2022 9:44:58 PM
End Time,1/25/2022 4:45:43 AM
Test section,TS030436
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],
1,...,0.000,0.000,0,0,Recovas_Capacity_Check,0.00000,0.00000,,,,,,
5,PAU,0.006,0.056,0,0,Recovas_Capacity_Check,3.33261,0.00000,,,,,,
5,PAU,0.006,0.056,0,0,Recovas_Capacity_Check,3.33250,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,120.017,120.067,0,0,Recovas_Capacity_Check,3.33283,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,240.019,240.069,0,0,Recovas_Capacity_Check,3.33295,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,360.020,360.070,0,0,Recovas_Capacity_Check,3.33306,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,480.021,480.071,0,0,Recovas_Capacity_Check,3.33328,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,600.023,600.073,0,0,Recovas_Capacity_Check,3.33339,0.00000,0.00000,0.00000,0.00000,0.00000,25.30000,
5,PAU,720.027,720.077,0,0,Recovas_Capacity_Check,3.33361,0.00000,0.00000,0.00000,0.00000,0.00000,25.30000,
5,PAU,840.014,840.064,0,0,Recovas_Capacity_Check,3.33384,0.00000,0.00000,0.00000,0.00000,0.00000,25.30000,
5,PAU,960.014,960.064,0,0,Recovas_Capacity_Check,3.33395,0.00000,0.00000,0.00000,0.00000,0.00000,25.30000,
5,PAU,1080.012,1080.062,0,0,Recovas_Capacity_Check,3.33406,0.00000,0.00000,0.00000,0.00000,0.00000,25.30000,
5,PAU,1200.022,1200.072,0,0,Recovas_Capacity_Check,3.33428,0.00000,0.00000,0.00000,0.00000,0.00000,25.30000,
5,PAU,1320.019,1320.069,0,0,Recovas_Capacity_Check,3.33450,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1440.037,1440.087,0,0,Recovas_Capacity_Check,3.33461,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1560.019,1560.069,0,0,Recovas_Capacity_Check,3.33472,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1680.027,1680.077,0,0,Recovas_Capacity_Check,3.33495,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1800.023,1800.073,0,0,Recovas_Capacity_Check,3.33517,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1800.023,1800.073,0,0,Recovas_Capacity_Check,3.33517,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
5,PAU,1800.023,1800.073,0,0,Recovas_Capacity_Check,3.33517,0.00000,,,,,,
6,CHA,0.000,1800.083,0,0,Recovas_Capacity_Check,3.39210,0.00000,,,,,,
6,CHA,0.000,1800.083,0,0,Recovas_Capacity_Check,3.39210,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
6,CHA,0.235,1800.318,0,0,Recovas_Capacity_Check,3.40232,1.66939,0.00009,0.00000,0.00030,5.67858,25.20000,
6,CHA,1.014,1801.097,0,0,Recovas_Capacity_Check,3.40666,1.66993,0.00046,0.00000,0.00156,5.68888,25.20000,
6,CHA,2.014,1802.097,0,0,Recovas_Capacity_Check,3.40944,1.66993,0.00092,0.00000,0.00314,5.69352,25.20000,
6,CHA,2.999,1803.082,0,0,Recovas_Capacity_Check,3.41189,1.66993,0.00138,0.00000,0.00470,5.69742,25.20000,
6,CHA,3.226,1803.309,0,0,Recovas_Capacity_Check,3.41233,1.66993,0.00148,0.00000,0.00503,5.69817,25.20000,
6,CHA,4.005,1804.088,0,0,Recovas_Capacity_Check,3.41378,1.66993,0.00185,0.00000,0.00629,5.70077,25.20000,
6,CHA,5.005,1805.088,0,0,Recovas_Capacity_Check,3.41555,1.66993,0.00231,0.00000,0.00787,5.70374,25.20000,
