

Measurement ID,31931
Battery Name,LG M50
Battery Type,
Circuit,MCCD_0893
Program,1245 - Recovas_Capacity_Check
Start Time,1/27/2022 8:52:27 AM
End Time,1/27/2022 3:49:10 PM
Test section,TS030482
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],
1,...,0.000,0.000,0,0,Recovas_Capacity_Check,3.37027,0.00000,,,,,,
5,PAU,0.009,0.073,0,0,Recovas_Capacity_Check,3.37027,0.00000,,,,,,
5,PAU,0.009,0.073,0,0,Recovas_Capacity_Check,3.37027,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,120.039,120.103,0,0,Recovas_Capacity_Check,3.37038,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,240.022,240.086,0,0,Recovas_Capacity_Check,3.37038,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,360.031,360.095,0,0,Recovas_Capacity_Check,3.37049,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,480.018,480.082,0,0,Recovas_Capacity_Check,3.37049,0.00000,0.00000,0.00000,0.00000,0.00000,24.70000,
5,PAU,600.030,600.094,0,0,Recovas_Capacity_Check,3.37049,0.00000,0.00000,0.00000,0.00000,0.00000,24.70000,
5,PAU,720.020,720.084,0,0,Recovas_Capacity_Check,3.37072,0.00000,0.00000,0.00000,0.00000,0.00000,24.70000,
5,PAU,840.053,840.117,0,0,Recovas_Capacity_Check,3.37083,0.00000,0.00000,0.00000,0.00000,0.00000,24.70000,
5,PAU,960.026,960.090,0,0,Recovas_Capacity_Check,3.37083,0.00000,0.00000,0.00000,0.00000,0.00000,24.70000,
5,PAU,1080.029,1080.093,0,0,Recovas_Capacity_Check,3.37094,0.00000,0.00000,0.00000,0.00000,0.00000,24.70000,
5,PAU,1200.017,1200.081,0,0,Recovas_Capacity_Check,3.37094,0.00000,0.00000,0.00000,0.00000,0.00000,24.70000,
5,PAU,1320.025,1320.089,0,0,Recovas_Capacity_Check,3.37105,0.00000,0.00000,0.00000,0.00000,0.00000,24.70000,
5,PAU,1440.024,1440.088,0,0,Recovas_Capacity_Check,3.37105,0.00000,0.00000,0.00000,0.00000,0.00000,24.70000,
5,PAU,1560.031,1560.095,0,0,Recovas_Capacity_Check,3.37116,0.00000,0.00000,0.00000,0.00000,0.00000,24.70000,
5,PAU,1680.026,1680.090,0,0,Recovas_Capacity_Check,3.37127,0.00000,0.00000,0.00000,0.00000,0.00000,24.70000,
5,PAU,1800.032,1800.096,0,0,Recovas_Capacity_Check,3.37138,0.00000,0.00000,0.00000,0.00000,0.00000,24.70000,
