

Measurement ID,27151
Battery Name,LG M50
Battery Type,
Circuit,MCCD_0895
Program,150 - LTA_RPT_Cycling
Start Time,11/8/2021 6:04:54 PM
End Time,11/9/2021 10:57:07 PM
Test section,TS025737
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],
1,...,0.000,0.000,0,0,LTA_RPT_Cycling,3.69181,0.00000,,,,,,
1,PAU,0.006,0.070,0,0,LTA_LG50_RPT_Cyc,3.68970,0.00000,,,,,,
1,PAU,0.006,0.070,0,0,LTA_LG50_RPT_Cyc,3.68970,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,1.020,1.084,0,0,LTA_LG50_RPT_Cyc,3.68970,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,2.048,2.112,0,0,LTA_LG50_RPT_Cyc,3.68970,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,3.035,3.099,0,0,LTA_LG50_RPT_Cyc,3.68959,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,4.024,4.088,0,0,LTA_LG50_RPT_Cyc,3.68959,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,5.025,5.089,0,0,LTA_LG50_RPT_Cyc,3.68948,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,6.034,6.098,0,0,LTA_LG50_RPT_Cyc,3.68959,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,7.032,7.096,0,0,LTA_LG50_RPT_Cyc,3.68948,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,8.040,8.104,0,0,LTA_LG50_RPT_Cyc,3.68948,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,9.035,9.099,0,0,LTA_LG50_RPT_Cyc,3.68937,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,10.030,10.094,0,0,LTA_LG50_RPT_Cyc,3.68937,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,11.030,11.094,0,0,LTA_LG50_RPT_Cyc,3.68937,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,12.045,12.109,0,0,LTA_LG50_RPT_Cyc,3.68925,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,13.036,13.100,0,0,LTA_LG50_RPT_Cyc,3.68925,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,14.035,14.099,0,0,LTA_LG50_RPT_Cyc,3.68925,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,15.020,15.084,0,0,LTA_LG50_RPT_Cyc,3.68925,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,16.023,16.087,0,0,LTA_LG50_RPT_Cyc,3.68914,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,17.037,17.101,0,0,LTA_LG50_RPT_Cyc,3.68914,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,18.034,18.098,0,0,LTA_LG50_RPT_Cyc,3.68914,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,19.023,19.087,0,0,LTA_LG50_RPT_Cyc,3.68914,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,20.021,20.085,0,0,LTA_LG50_RPT_Cyc,3.68903,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,21.030,21.094,0,0,LTA_LG50_RPT_Cyc,3.68903,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,22.021,22.085,0,0,LTA_LG50_RPT_Cyc,3.68903,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,23.018,23.082,0,0,LTA_LG50_RPT_Cyc,3.68903,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,24.066,24.130,0,0,LTA_LG50_RPT_Cyc,3.68903,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,25.022,25.086,0,0,LTA_LG50_RPT_Cyc,3.68892,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
1,PAU,26.026,26.090,0,0,LTA_LG50_RPT_Cyc,3.68892,0.00000,0.00000,0.00000,0.00000,0.00000,25.20000,
